underlying,currenty,notional,is_call,expiry,strike,value
NKY,JPY,1,Call,2023-12-22,28265.0,2472.35
NKY,JPY,1,Call,2023-06-22,28265.0,1834.38
RTY,USD,1,Call,2023-12-22,1882.74,271.54
NKY,JPY,1,Put,2023-01-22,28265.0,1069.26
SPX,USD,1,Put,2022-12-22,4000.0,126.505
NDX,USD,1,Call,2023-06-22,11330.0,1299.33
NDX,USD,1,Put,2022-12-22,11330.0,544.295
NDX,USD,1,Put,2023-02-22,11330.0,783.713
NKY,JPY,1,Put,2022-12-22,28265.0,829.686
SPX,USD,1,Put,2023-01-22,4000.0,159.584
RTY,USD,1,Call,2023-06-22,1882.74,195.63
SPX,USD,1,Put,2023-02-22,4000.0,185.337
RTY,USD,1,Put,2023-02-22,1882.74,108.128
NDX,USD,1,Put,2023-01-22,11330.0,677.735
NDX,USD,1,Call,2023-12-22,11330.0,1729.31
SPX,USD,1,Call,2023-06-22,4000.0,326.95
RTY,USD,1,Put,2022-12-22,1882.74,73.3019
SPX,USD,1,Call,2023-12-22,4000.0,453.89
RTY,USD,1,Put,2023-01-22,1882.74,92.8706
NKY,JPY,1,Put,2023-02-22,28265.0,1266.09
